Time;Input;Th1;Th2
5.2;-0.335011216;-0.537231479;1.968759442
5.21;-0.360658167;-0.517699931;1.91870985
5.22;-0.380173312;-0.499389105;1.860115206
5.23;-0.393185436;-0.479857557;1.811286336
5.24;-0.399432353;-0.457884565;1.698979934
5.25;-0.398766933;-0.444456626;1.655033951
5.26;-0.391161231;-0.424925078;1.561038376
5.27;-0.37670856;-0.404172808;1.471925689
5.28;-0.355623477;-0.382199817;1.364502174
5.29;-0.328239596;-0.362668269;1.224119173
5.3;-0.295005247;-0.345578164;1.092281224
5.31;-0.256477006;-0.327267338;0.989740597
5.32;-0.213311172;-0.312618677;0.856681926
5.33;-0.16625329;-0.299190738;0.734609751
5.34;-0.116125896;-0.288204242;0.595447471
5.35;-0.063814641;-0.282100633;0.466050965
5.36;-0.010253035;-0.277217746;0.336654459
5.37;0.032695455;-0.27965919;0.209699397
5.38;0.072560311;-0.275997024;0.097392996
5.39;0.111173067;-0.277217746;-0.014913405
5.4;0.147818202;-0.27965919;-0.121116197
5.41;0.181809848;-0.285762799;-0.230981155
5.42;0.212504908;-0.296749294;-0.322535286
5.43;0.2393156;-0.306515068;-0.403102922
5.44;0.261721167;-0.316280842;-0.476346227
5.45;0.279278518;-0.332150225;-0.53372015
5.46;0.291631583;-0.344357443;-0.578886854
5.47;0.298519166;-0.363888991;-0.621612116
5.48;0.29978112;-0.374875486;-0.647247272
5.49;0.2953627;-0.389524147;-0.66677882
5.5;0.285316955;-0.406614252;-0.683868925
5.51;0.269805094;-0.422483635;-0.686310369
5.52;0.249094763;-0.437132296;-0.682648203
5.53;0.223556228;-0.455443122;-0.677765316
5.54;0.193656502;-0.465208896;-0.657013046
5.55;0.159951486;-0.479857557;-0.621612116
5.56;0.12307624;-0.487181888;-0.604522011
5.57;0.083733533;-0.49572694;-0.572783246
5.58;0.042680882;-0.505492714;-0.537382315
5.59;0.000716282;-0.504271992;-0.487332723
5.6;-0.055116116;-0.506713436;-0.442166018
5.61;-0.110195885;-0.504271992;-0.387233539
5.62;-0.163184322;-0.50305127;-0.322535286
5.63;-0.213013438;-0.496947662;-0.266382086
5.64;-0.258669054;-0.489623331;-0.212670329
5.65;-0.29921192;-0.479857557;-0.149192798
5.66;-0.333797651;-0.468871061;-0.084494545
5.67;-0.361695053;-0.448118791;-0.01857557
5.68;-0.382302423;-0.431028687;0.031474022
5.69;-0.395161455;-0.418821469;0.092510109
5.7;-0.399968418;-0.393186313;0.160870527
5.71;-0.396582317;-0.372434043;0.234113832
5.72;-0.385029812;-0.354123217;0.289046311
5.73;-0.365506723;-0.332150225;0.359848173
5.74;-0.338376039;-0.311397955;0.422104982
